variant_name,layer_index,probe_name,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
random_control,10,pairwise,64,401730,0.0,5,1.0,0.0,0.3625,0.047961935138422236,0.6375,0.047961935138422215
random_control,10,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,10,triadic,75,403502,0.0,5,1.0,0.0,0.4152777777777778,0.06002025121203307,0.5847222222222223,0.060020251212033075
random_control,11,exact,64,49282,0.0,5,0.78,0.033613406716831176,0.475,0.055032257655997084,0.55,0.026168671779745523
random_control,11,pairwise,64,401730,0.0,5,1.0,0.0,0.3902777777777778,0.04920274884421764,0.6097222222222223,0.04920274884421763
random_control,11,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,11,triadic,75,403502,0.0,5,1.0,0.0,0.39305555555555555,0.055685611657581825,0.6069444444444444,0.05568561165758183
random_control,12,exact,64,49282,0.0,5,0.8061666666666667,0.03606802985717097,0.4847222222222222,0.036549159352613256,0.5236111111111111,0.03050817032845665
random_control,12,pairwise,64,401730,0.0,5,1.0,0.0,0.3888888888888889,0.03574871576731599,0.6111111111111112,0.03574871576731601
random_control,12,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,12,triadic,75,403502,0.0,5,1.0,0.0,0.38611111111111107,0.06261563377138807,0.6138888888888889,0.06261563377138811
